,codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici
158,VS,Lac Redon (2.247 m),A,42.63835,0.77889,"{'type': 'Point', 'coordinates': [0.77889, 42.63835]}",Lac Redon - Tuc deth Pòrt de Vielha,2247,879,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,1999-07-15T00:00:00.000
159,U6,Vinyols i els Arcs,A,41.08017,1.06661,"{'type': 'Point', 'coordinates': [1.06661, 41.08017]}",Casa Sant Josep - Escola la Salle,29,236,Vinyols i els Arcs,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,1989-05-17T00:00:00.000
160,M6,Sant Joan de les Abadesses,A,42.22189,2.2427,"{'type': 'Point', 'coordinates': [2.2427, 42.22189]}",Agrupació Esportiva del Ripollès,730,713,Sant Joan de les Abadesses,31,Ripollès,17,Girona,1,XEMA,2,Operativa,1996-01-13T00:00:00.000
161,WC,Golmés,A,41.63642,0.92446,"{'type': 'Point', 'coordinates': [0.92446, 41.63642]}",Partida Fogones,261,652,Golmés,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,2000-08-08T00:00:00.000
162,R1,el Pont de Vilomara,A,41.70637,1.87276,"{'type': 'Point', 'coordinates': [1.87276, 41.70637]}",Planta de reciclatge de piles i fluorescents,210,196,El Pont de Vilomara i Rocafort,7,Bages,8,Barcelona,1,XEMA,2,Operativa,2000-03-02T00:00:00.000
163,DF,la Bisbal d'Empordà,A,41.97751,3.03543,"{'type': 'Point', 'coordinates': [3.03543, 41.97751]}",Estació depuradora,28.6,254,La Bisbal d'Empordà,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,1998-03-25T00:00:00.000
164,VM,Vilanova de Segrià,A,41.7145,0.62839,"{'type': 'Point', 'coordinates': [0.62839, 41.7145]}",Partida lo Sort,222,777,Vilanova de Segrià,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1997-09-17T00:00:00.000
165,CD,la Seu d'Urgell - Bellestar,A,42.37083,1.43277,"{'type': 'Point', 'coordinates': [1.43277, 42.37083]}",Abocador comarcal,849,134,La Seu d'Urgell,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,1996-01-16T00:00:00.000
166,XX,Tornabous,A,41.68835,1.04476,"{'type': 'Point', 'coordinates': [1.04476, 41.68835]}",Masia Mingot,291,868,Tornabous,38,Urgell,25,Lleida,1,XEMA,2,Operativa,2013-08-06T00:00:00.000
167,DL,Illa de Buda,A,40.70719,0.83449,"{'type': 'Point', 'coordinates': [0.83449, 40.70719]}",Mas de Buda,0.5,522,Sant Jaume d'Enveja,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1999-07-14T00:00:00.000
168,W1,Castelló d'Empúries,A,42.24726,3.09021,"{'type': 'Point', 'coordinates': [3.09021, 42.24726]}",Can Garriga - Mas Bellesguard,2,37,Castelló d'Empúries,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,2000-03-14T00:00:00.000
169,V3,Gurb,A,41.95224,2.23271,"{'type': 'Point', 'coordinates': [2.23271, 41.95224]}",Masia Can Borra,509,564,Gurb,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1999-03-31T00:00:00.000
170,YC,la Pobla de Segur,A,42.24388,0.96802,"{'type': 'Point', 'coordinates': [0.96802, 42.24388]}",Horta de les Feixes,508,613,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,2016-11-18T00:00:00.000
171,DP,Das - Aeròdrom,A,42.38605,1.8664,"{'type': 'Point', 'coordinates': [1.8664, 42.38605]}",Aeròdrom de la Cerdanya,1097,370,Das,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,2001-05-22T00:00:00.000
172,DN,Anglès,A,41.96095,2.63108,"{'type': 'Point', 'coordinates': [2.63108, 41.96095]}",Poliesportiu municipal,150,779,Anglès,34,Selva,17,Girona,1,XEMA,2,Operativa,2001-05-10T00:00:00.000
173,XJ,Girona,A,41.98223,2.80686,"{'type': 'Point', 'coordinates': [2.80686, 41.98223]}",Horts de Santa Eugènia,72,467,Girona,20,Gironès,17,Girona,1,XEMA,2,Operativa,2010-09-15T00:00:00.000
174,KE,Pantà de Sau,A,41.96867,2.41404,"{'type': 'Point', 'coordinates': [2.41404, 41.96867]}",Central hidroelèctrica de Sau,426,606,Vilanova de Sau,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1996-01-05T00:00:00.000
175,X5,PN dels Ports,A,40.79705,0.31822,"{'type': 'Point', 'coordinates': [0.31822, 40.79705]}",Montpublic 21 sector Cova Avellanes,1055,247,Roquetes,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,2007-01-04T00:00:00.000
176,DI,Font-rubí,A,41.43292,1.62386,"{'type': 'Point', 'coordinates': [1.62386, 41.43292]}",Masia Ca l'Amàlia - Montjuic,415,96,Font-rubí,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,1998-07-16T00:00:00.000
177,CG,Molló - Fabert,A,42.37717,2.41456,"{'type': 'Point', 'coordinates': [2.41456, 42.37717]}",Veïnat de Fabert,1405,706,Molló,31,Ripollès,17,Girona,1,XEMA,2,Operativa,1996-06-06T00:00:00.000
178,D5,Barcelona - Observatori Fabra,A,41.41843,2.12388,"{'type': 'Point', 'coordinates': [2.12388, 41.41843]}",Observatori Fabra,411.2,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,1995-11-03T00:00:00.000
179,D9,el Vendrell,A,41.21553,1.52121,"{'type': 'Point', 'coordinates': [1.52121, 41.21553]}",Instal·lacions esportives municipals,59,330,El Vendrell,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,1999-06-11T00:00:00.000
180,UM,la Granadella,A,41.35991,0.66789,"{'type': 'Point', 'coordinates': [0.66789, 41.35991]}",Horts de la Vall Major,505,424,La Granadella,18,Garrigues,25,Lleida,1,XEMA,2,Operativa,1992-01-30T00:00:00.000
181,UX,Ulldecona - els Valentins,A,40.62652,0.37112,"{'type': 'Point', 'coordinates': [0.37112, 40.62652]}",Comunitat de regants del Pou Valentins,210,525,Ulldecona,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1990-11-15T00:00:00.000
182,KX,la Roca del Vallès - ETAP Cardedeu,A,41.61865,2.36114,"{'type': 'Point', 'coordinates': [2.36114, 41.61865]}",Planta tractament d'Aigües Ter - Llobregat,156,931,La Roca del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,1996-01-05T00:00:00.000
183,CW,l'Espluga de Francolí,A,41.39241,1.09894,"{'type': 'Point', 'coordinates': [1.09894, 41.39241]}",Urb. Espluga Parc,446,387,L'Espluga de Francolí,16,Conca de Barberà,43,Tarragona,1,XEMA,2,Operativa,1996-02-23T00:00:00.000
184,Z6,Sasseuva (2.228 m),A,42.77011,0.73198,"{'type': 'Point', 'coordinates': [0.73198, 42.77011]}",Sasseuva,2228,872,Arres,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,2001-09-20T00:00:00.000
185,XF,Sabadell - Parc Agrari,A,41.56568,2.06952,"{'type': 'Point', 'coordinates': [2.06952, 41.56568]}",Parc Agrari,258,894,Sabadell,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,2008-10-23T00:00:00.000
186,X9,Caldes de Montbui,A,41.61265,2.16836,"{'type': 'Point', 'coordinates': [2.16836, 41.61265]}",Torre Marimon,176,907,Caldes de Montbui,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2007-03-08T00:00:00.000
187,UQ,Dosrius - PN Montnegre Corredor,A,41.61991,2.44532,"{'type': 'Point', 'coordinates': [2.44532, 41.61991]}",Parc Natural del Corredor. Masia Can Bosc,460,493,Dosrius,21,Maresme,8,Barcelona,1,XEMA,2,Operativa,1996-08-09T00:00:00.000
