,codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici
78,C9,Mas de Barberans,A,40.71825,0.39988,"{'type': 'Point', 'coordinates': [0.39988, 40.71825]}",Abocador comarcal,240,519,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1997-04-11T00:00:00.000
79,VQ,Constantí,A,41.1713,1.16774,"{'type': 'Point', 'coordinates': [1.16774, 41.1713]}",IRTA - Centre de Mas Bové. Apt. correus 415,112,821,Constantí,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,1990-05-29T00:00:00.000
80,CI,Sant Pau de Segúries,A,42.25839,2.36429,"{'type': 'Point', 'coordinates': [2.36429, 42.25839]}",Estació meteorològica municipal,852,714,Sant Pau de Segúries,31,Ripollès,17,Girona,1,XEMA,2,Operativa,1995-11-24T00:00:00.000
81,U4,Castellnou de Bages,A,41.83094,1.84699,"{'type': 'Point', 'coordinates': [1.84699, 41.83094]}",Masia Can Vilaseca,507,184,Castellnou de Bages,7,Bages,8,Barcelona,1,XEMA,2,Operativa,1998-01-22T00:00:00.000
82,MQ,Cardona,A,41.92047,1.69584,"{'type': 'Point', 'coordinates': [1.69584, 41.92047]}",Boca nord del túnel de desviament del Cardener,402,180,Cardona,7,Bages,8,Barcelona,1,XEMA,2,Operativa,2003-01-16T00:00:00.000
83,DB,el Perelló,A,40.87287,0.71581,"{'type': 'Point', 'coordinates': [0.71581, 40.87287]}",Dipòsit d'aigua,179,246,El Perelló,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1998-02-05T00:00:00.000
84,D7,Vinebre,A,41.18499,0.59376,"{'type': 'Point', 'coordinates': [0.59376, 41.18499]}",Partida de Mallols,53,699,Vinebre,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,1998-01-22T00:00:00.000
85,WZ,Cunit,A,41.20187,1.63346,"{'type': 'Point', 'coordinates': [1.63346, 41.20187]}",-,17,324,Cunit,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,2006-06-27T00:00:00.000
86,WP,Canaletes,A,41.48518,1.69337,"{'type': 'Point', 'coordinates': [1.69337, 41.48518]}",Camp del Roure - Can Feixes,325,99,Mediona,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,2002-05-17T00:00:00.000
87,W5,Oliana,A,42.07683,1.31489,"{'type': 'Point', 'coordinates': [1.31489, 42.07683]}",Partida Esclotes,490,129,Oliana,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,2000-06-22T00:00:00.000
88,UA,l'Ametlla de Mar,A,40.9091,0.76943,"{'type': 'Point', 'coordinates': [0.76943, 40.9091]}",Caseta d'en Butxaca,93,240,L'Ametlla de Mar,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1995-08-29T00:00:00.000
89,Y7,Port de Barcelona - Bocana Sud,A,41.31725,2.16537,"{'type': 'Point', 'coordinates': [2.16537, 41.31725]}",Port de Barcelona,3,304,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,2015-04-08T00:00:00.000
90,X6,Baldomar,A,41.92173,1.02901,"{'type': 'Point', 'coordinates': [1.02901, 41.92173]}",Baldomar,366,530,Artesa de Segre,23,Noguera,25,Lleida,1,XEMA,2,Operativa,2006-10-24T00:00:00.000
91,XE,Tarragona - Complex Educatiu,A,41.10393,1.201,"{'type': 'Point', 'coordinates': [1.201, 41.10393]}",Complex Educatiu,5,835,Tarragona,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,2009-02-05T00:00:00.000
92,XB,la Llacuna,A,41.4779,1.53529,"{'type': 'Point', 'coordinates': [1.53529, 41.4779]}",Cal Mateu,584,155,La Llacuna,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,2008-03-19T00:00:00.000
93,XZ,Torroella de Fluvià,A,42.18139,3.06202,"{'type': 'Point', 'coordinates': [3.06202, 42.18139]}",,7,79,Torroella de Fluvià,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,2014-04-08T00:00:00.000
94,DO,Castell d'Aro,A,41.80857,3.03241,"{'type': 'Point', 'coordinates': [3.03241, 41.80857]}",Parc de Bombers,14,256,Castell-Platja d'Aro,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,2001-05-10T00:00:00.000
95,V8,el Poal,A,41.67279,0.87741,"{'type': 'Point', 'coordinates': [0.87741, 41.67279]}","Finca el Molinet, c. Afores, s/n",223,658,El Poal,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,1989-09-14T00:00:00.000
96,UB,la Tallada d'Empordà,A,42.05398,3.06195,"{'type': 'Point', 'coordinates': [3.06195, 42.05398]}",Findació Mas Badia - Canet de la Tallada,15,278,La Tallada d'Empordà,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,1989-05-01T00:00:00.000
97,X7,Torres de Segre,A,41.51909,0.55314,"{'type': 'Point', 'coordinates': [0.55314, 41.51909]}",Torres de Segre,215,774,Torres de Segre,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2007-07-02T00:00:00.000
98,UK,Sant Pere de Ribes - PN del Garraf,A,41.27861,1.80479,"{'type': 'Point', 'coordinates': [1.80479, 41.27861]}",Granja escola Can Pere,161,409,Sant Pere de Ribes,17,Garraf,8,Barcelona,1,XEMA,2,Operativa,1999-05-11T00:00:00.000
99,VB,Benissanet,A,41.06289,0.63517,"{'type': 'Point', 'coordinates': [0.63517, 41.06289]}","Grup Fruiter Benissanet, crta. de Mora, s/n",32,687,Benissanet,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,1993-07-14T00:00:00.000
100,C8,Cervera,A,41.67555,1.29609,"{'type': 'Point', 'coordinates': [1.29609, 41.67555]}",Abocador comarcal,554,720,Cervera,32,Segarra,25,Lleida,1,XEMA,2,Operativa,1995-10-27T00:00:00.000
101,WA,Oliola,A,41.87694,1.1541,"{'type': 'Point', 'coordinates': [1.1541, 41.87694]}",Partida l'Era,443,544,Oliola,23,Noguera,25,Lleida,1,XEMA,2,Operativa,2001-03-26T00:00:00.000
102,YK,Terrassa,A,41.55361,1.99005,"{'type': 'Point', 'coordinates': [1.99005, 41.55361]}",Can Poal,313,900,Terrassa,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,2018-12-20T00:00:00.000
103,Z9,Cadí Nord (2.143 m) - Prat d'Aguiló,A,42.29265,1.71498,"{'type': 'Point', 'coordinates': [1.71498, 42.29265]}",Cadí Nord - Prat d'Aguiló,2143,378,Montellà i Martinet,15,Cerdanya,25,Lleida,1,XEMA,2,Operativa,2003-11-06T00:00:00.000
104,VX,Tagamanent - PN del Montseny,A,41.74761,2.30291,"{'type': 'Point', 'coordinates': [2.30291, 41.74761]}",Can Bellver - Serrat de Bellver. Parc Natural del Montseny,1030,942,Tagamanent,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,1996-01-04T00:00:00.000
105,WV,Guardiola de Berguedà,A,42.23414,1.87485,"{'type': 'Point', 'coordinates': [1.87485, 42.23414]}",Monestir de Sant Llorenç prop Bagà,788,351,Guardiola de Berguedà,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,2005-11-28T00:00:00.000
106,U2,Sant Pere Pescador,A,42.17716,3.0968,"{'type': 'Point', 'coordinates': [3.0968, 42.17716]}","Mas Blanc, Mas Fages 17",4,73,Sant Pere Pescador,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1989-05-01T00:00:00.000
107,D8,Horta de Sant Joan,A,40.95134,0.30565,"{'type': 'Point', 'coordinates': [0.30565, 40.95134]}",Les Forques,515,847,Horta de Sant Joan,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,1998-01-28T00:00:00.000
108,ZB,Salòria (2.451 m),A,42.51939,1.36597,"{'type': 'Point', 'coordinates': [1.36597, 42.51939]}",Salòria,2451,621,Alins,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2004-09-30T00:00:00.000
109,WL,Sant Martí de Riucorb,A,41.57236,1.0882,"{'type': 'Point', 'coordinates': [1.0882, 41.57236]}","Camí de les Comes, pol. 2, parc. 137",413,866,Sant Martí de Riucorb,38,Urgell,25,Lleida,1,XEMA,2,Operativa,2002-02-05T00:00:00.000
110,W9,la Vall d'en Bas,A,42.14557,2.45451,"{'type': 'Point', 'coordinates': [2.45451, 42.14557]}",Escola Verntallat,461,456,La Vall d'en Bas,19,Garrotxa,17,Girona,1,XEMA,2,Operativa,2000-03-16T00:00:00.000
111,WU,Badalona - Museu,A,41.45215,2.24757,"{'type': 'Point', 'coordinates': [2.24757, 41.45215]}",Museu,42,331,Badalona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,2005-09-21T00:00:00.000
112,VO,Lladurs,A,42.08745,1.42792,"{'type': 'Point', 'coordinates': [1.42792, 42.08745]}",Masia el Pla - Montpol,785,808,Lladurs,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,1998-05-05T00:00:00.000
113,XO,Vic,A,41.93497,2.23987,"{'type': 'Point', 'coordinates': [2.23987, 41.93497]}",Vic,499,603,Vic,24,Osona,8,Barcelona,1,XEMA,2,Operativa,2011-12-22T00:00:00.000
114,XC,Castellbisbal,A,41.47892,1.97546,"{'type': 'Point', 'coordinates': [1.97546, 41.47892]}",Turó de la Verdalaga,147,884,Castellbisbal,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,2008-03-18T00:00:00.000
115,XK,Puig Sesolles (1.668 m),A,41.77362,2.43774,"{'type': 'Point', 'coordinates': [2.43774, 41.77362]}",Puig Sesolles (Massís del Montseny),1668,915,Fogars de Montclús,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2010-09-22T00:00:00.000
116,ZD,la Tosa d'Alp 2500,A,42.32211,1.89716,"{'type': 'Point', 'coordinates': [1.89716, 42.32211]}",Tosa d'Alp,2478,367,Alp,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,2014-09-04T00:00:00.000
117,WW,Artés,A,41.79423,1.9368,"{'type': 'Point', 'coordinates': [1.9368, 41.79423]}",Artés,278,175,Artés,7,Bages,8,Barcelona,1,XEMA,2,Operativa,2006-02-16T00:00:00.000
118,Y6,Tivissa,A,41.04343,0.74032,"{'type': 'Point', 'coordinates': [0.74032, 41.04343]}",-,317,697,Tivissa,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,2015-03-26T00:00:00.000
119,WD,Batea,A,41.08671,0.31884,"{'type': 'Point', 'coordinates': [0.31884, 41.08671]}",Clos Cóssos,382,841,Batea,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,1999-12-23T00:00:00.000
120,CQ,Vilanova de Meià,A,41.99546,1.02569,"{'type': 'Point', 'coordinates': [1.02569, 41.99546]}",Camp de fútbol,594,555,Vilanova de Meià,23,Noguera,25,Lleida,1,XEMA,2,Operativa,1996-04-01T00:00:00.000
121,XS,Santa Coloma de Farners,A,41.86489,2.66446,"{'type': 'Point', 'coordinates': [2.66446, 41.86489]}",Dipòsit d'aigua,162,798,Santa Coloma de Farners,34,Selva,17,Girona,1,XEMA,2,Operativa,2013-03-26T00:00:00.000
122,XI,Mollerussa,A,41.61817,0.87182,"{'type': 'Point', 'coordinates': [0.87182, 41.61817]}",-,247,656,Mollerussa,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,2010-01-20T00:00:00.000
123,UH,el Montmell,A,41.34171,1.48769,"{'type': 'Point', 'coordinates': [1.48769, 41.34171]}",Finca Vallflor - Aigua Viva,545,327,El Montmell,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,1995-07-13T00:00:00.000
124,WY,Sant Sadurní d'Anoia,A,41.43386,1.79429,"{'type': 'Point', 'coordinates': [1.79429, 41.43386]}",-,164,111,Sant Sadurní d'Anoia,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,2006-04-11T00:00:00.000
125,MR,Pantà de Siurana,A,41.25079,0.9106,"{'type': 'Point', 'coordinates': [0.9106, 41.25079]}",Pantà de Siurana - Xalet del Pantà,500,667,Cornudella de Montsant,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2010-11-08T00:00:00.000
126,UO,Fornells de la Selva,A,41.91461,2.82069,"{'type': 'Point', 'coordinates': [2.82069, 41.91461]}",La Torre de Reset,97,466,Fornells de la Selva,20,Gironès,17,Girona,1,XEMA,2,Operativa,1998-11-10T00:00:00.000
127,X2,Barcelona - Zoo,A,41.38943,2.18847,"{'type': 'Point', 'coordinates': [2.18847, 41.38943]}",Zoo,7,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,2006-09-22T00:00:00.000
128,VP,Pinós,A,41.80483,1.53853,"{'type': 'Point', 'coordinates': [1.53853, 41.80483]}",Masia Can Caselles,659,815,Pinós,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,1995-07-03T00:00:00.000
129,VK,Raimat,A,41.68328,0.4487,"{'type': 'Point', 'coordinates': [0.4487, 41.68328]}",Finca Montserrat - Raimat,286,760,Lleida,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1988-08-31T00:00:00.000
130,U3,Sant Martí Sarroca,A,41.37491,1.63032,"{'type': 'Point', 'coordinates': [1.63032, 41.37491]}",Mas Rabell de Fontenac,257,108,Sant Martí Sarroca,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,1997-05-24T00:00:00.000
131,V4,Montesquiu,A,42.11477,2.21483,"{'type': 'Point', 'coordinates': [2.21483, 42.11477]}",Castell de Montesquiu,684,570,Montesquiu,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1998-12-02T00:00:00.000
132,WN,Montserrat - Sant Dimes,A,41.59539,1.83751,"{'type': 'Point', 'coordinates': [1.83751, 41.59539]}",Ermita de Sant Dimes,916,192,Monistrol de Montserrat,7,Bages,8,Barcelona,1,XEMA,2,Operativa,2003-01-02T00:00:00.000
