codi_estacio,nom_estacio,latitud,longitud,RS,HRx,T,HR,PPT,Tx,Tn,HRn,PPTx1min,DV10,DVVx10,Px,Pn,VV10,P,VVx10,GNEU,VV2,DV2,VVx2,DVVx2,RN,VV6,DV6,VVx6,DVVx6,X,Y
KX,la Roca del Vallès - ETAP Cardedeu,41.61865,2.36114,,,,,0,,,,0,,,,,,,,,,,,,,,,,,446776.27981045103,4607633.864010536
M6,Sant Joan de les Abadesses,42.22189,2.2427,,,,,0,,,,0,,,,,,,,,,,,,,,,,,437500.39407479955,4674690.468618952
MQ,Cardona,41.92047,1.69584,,31,28.7,29,0,29.4,28.3,28,0,,,,,,,,,,,,,,,,,,391857.166413654,4641768.510682057
MR,Pantà de Siurana,41.25079,0.9106,960,29,27,26,0,28.8,25.7,23,0,148,178,959.4,959.2,3.7,959.3,8.3,,,,,,,,,,,324940.8687603654,4568702.860132806
MV,Guixers - Valls,42.13598,1.67295,,36,25.5,34,0,26.2,24.7,31,0,,,,,,,,,,,,,,,,,,390330.17288000096,4665726.257477412
U1,Cabanes,42.30648,2.95481,933,33,31.2,31,0,31.7,30.7,29,0,,,,,,,,,1.9,184,6.7,208,,,,,,496275.4838378333,4683806.248833203
U2,Sant Pere Pescador,42.17716,3.0968,941,46,27.7,42,0,28.3,27.1,39,0,146,150,1014.5,1013.9,5.3,1014.2,9.9,,,,,,,,,,,507994.4711972691,4669450.935766798
U3,Sant Martí Sarroca,41.37491,1.63032,958,31,27.2,30,0,27.6,26.9,29,0,,,,,,,,,1.7,197,5.9,187,513,,,,,385461.6085064902,4581281.995197213
U4,Castellnou de Bages,41.83094,1.84699,1011,30,27.9,28,0,28.5,27.3,26,0,188,183,,,4.3,,8.1,,,,,,,,,,,404257.3922587596,4631648.504388796
U6,Vinyols i els Arcs,41.08017,1.06661,937,66,23.7,61,0,24.1,23.5,58,0,,,,,,,,,1.8,163,4.2,160,,,,,,337591.85506580904,4549457.715659002
U7,Aldover,40.85936,0.50525,943,39,27.6,37,0,28.1,27.1,34,0,,,,,,,,,2.1,133,6.4,119,,,,,,289732.6610150133,4526140.645439378
U9,l'Aldea,40.76947,0.61635,957,42,25.9,39,0,26.3,25.3,37,0,,,,,,,,,2.1,144,4.8,199,,,,,,298825.8900196691,4515900.076906013
UA,l'Ametlla de Mar,40.9091,0.76943,962,69,23.3,66,0,23.9,22.7,64,0,,,,,,,,,2.5,104,5,88,,,,,,312141.3102046085,4531061.690611716
UB,la Tallada d'Empordà,42.05398,3.06195,991,42,27.6,40,0,28.1,27.2,38,0,,,,,,,,,4.4,138,7.8,113,579,,,,,505126.2133643449,4655771.447110662
UE,Torroella de Montgrí,42.02306,3.15719,,48,26,45,0,26.4,25.8,42,0,,,,,,,,,,,,,,,,,,513013.40244273935,4652348.505527126
UF,PN del Garraf - el Rascler,41.28832,1.90775,967,37,24.3,36,0,25.1,23.9,34,0,,,,,,,,,2.6,236,4.8,251,,,,,,408540.8346558567,4571339.387142464
UG,Viladecans,41.29928,2.03787,935,55,26.4,52,0,26.9,25.9,50,0,,,,,,,,,0.9,192,3.2,158,,,,,,419450.014905773,4572427.229491999
